bottle,group,diet,time,replication,ph,gas,h2,ch4,nh3n,c2,c3,c4,c5,tvfa,ap
25,con,NOR,6,1,6.49,67,,,2.55,39.12096774,14.43795758,6.241744495,1.572450305,61.37312012,2.709591541
26,con,NOR,6,2,6.5,65,,,2.6,38.15677419,13.90746659,6.002308753,1.51778626,59.5843358,2.743617894
27,con,NOR,6,3,6.51,65,,,2.81,38.09354839,13.76409064,5.99133345,1.523104628,59.37207711,2.767603714
28,met,NOR,6,1,6.52,62,,,2.8,37.56666667,13.94474433,6.080628663,1.611265289,59.20330495,2.693965968
29,met,NOR,6,2,6.51,58,,,3.1,38.25688172,14.22576119,6.126696041,1.568853313,60.17819226,2.689267816
30,met,NOR,6,3,6.49,64,,,2.93,38.60462366,14.24870134,6.303601058,1.561736449,60.7186625,2.709343311
31,hos,NOR,6,1,6.5,67,,,2.63,37.21892473,14.03937246,6.035619897,1.496570632,58.79048772,2.651039058
32,hos,NOR,6,2,6.5,66,,,2.71,37.89333333,14.11106043,6.192836785,1.531730783,59.72896133,2.685363975
33,hos,NOR,6,3,6.52,64,,,2.73,37.34010753,13.99635967,6.055404335,1.478894155,58.87076569,2.667844239
36,con,SAR,6,1,5.8,60,,,1.87,32.91956989,12.88662987,6.709591737,1.262123234,53.77791473,2.554552294
37,con,SAR,6,2,5.77,57,,,1.7,33.8416129,13.3167577,7.213157849,1.468508064,55.84003652,2.541280218
38,con,SAR,6,3,5.8,56,,,1.69,32.47172043,12.68016851,6.541206928,1.299149362,52.99224523,2.560827201
39,met,SAR,6,1,5.79,61,,,1.77,32.62978495,12.97839047,6.69409148,1.286733412,53.58900031,2.514162678
40,met,SAR,6,2,5.79,60,,,1.91,32.90376344,12.92964265,6.744924585,1.274375302,53.85270598,2.544831619
41,met,SAR,6,3,5.78,62,,,1.77,33.39903226,13.0443434,7.20574441,1.330837843,54.97995792,2.560422646
42,hos,SAR,6,1,5.8,50,,,1.87,32.55602151,12.93537769,6.696113184,1.242609701,53.43012208,2.516820327
43,hos,SAR,6,2,5.79,57,,,1.82,32.87215054,13.00133062,6.771496454,1.286723772,53.93170138,2.528368172
44,hos,SAR,6,3,5.8,53,,,2.01,32.83526882,12.9525828,6.698327507,1.272625007,53.75880413,2.535036396
47,con,NOR,12,1,6.33,93,,,3.22,48.86212414,18.67188067,8.604290762,2.203125804,78.34142137,2.616882842
48,con,NOR,12,2,6.35,86,,,3.51,47.92132414,18.57372916,8.542355174,2.100344194,77.13775267,2.58005938
49,con,NOR,12,3,6.35,93,,,3.19,48.46201379,18.5535215,8.694947915,2.174689643,77.88517285,2.612011623
50,met,NOR,12,1,6.35,81,,,4.03,47.06162759,18.25040655,8.382342466,2.043443687,75.73782029,2.578661875
51,met,NOR,12,2,6.33,90,,,3.62,47.36441379,18.24463293,7.944099564,1.977713603,75.53085989,2.596073813
52,met,NOR,12,3,6.36,93,,,3.99,46.24518621,17.71057327,7.948541558,1.908511442,73.81281247,2.611162581
53,hos,NOR,12,1,6.33,89,,,3.34,47.43470345,18.48135127,8.028800237,1.970628521,75.91548348,2.566625283
54,hos,NOR,12,2,6.34,89,,,3.42,47.58609655,18.62857853,8.053281668,1.977736152,76.2456929,2.554467399
55,hos,NOR,12,3,6.32,86,,,3.05,47.80237241,18.67476748,8.247265375,2.121452876,76.84585814,2.559730528
58,con,SAR,12,1,5.33,86,,,1.28,40.23271724,18.35144487,11.60783663,1.479117039,71.67111578,2.192346027
59,con,SAR,12,2,5.34,82,,,1.32,41.72502069,18.76137175,12.29922272,1.580328906,74.36594406,2.223985605
60,con,SAR,12,3,5.35,80,,,1.43,41.17892414,18.75559813,11.93225358,1.48977003,73.35654587,2.195553768
61,met,SAR,12,1,5.36,87,,,1.15,41.19514483,18.49289851,12.12124017,1.489702384,73.29898589,2.227619689
62,met,SAR,12,2,5.35,85,,,1.06,40.21108966,18.25329336,11.62555414,1.439977153,71.52991431,2.202949838
63,met,SAR,12,3,5.33,87,,,1.03,40.84910345,18.49578532,12.27883002,1.471913577,73.09563237,2.208562802
64,hos,SAR,12,1,5.38,83,,,0.85,40.22190345,18.00214098,11.58118467,1.413336221,71.21856532,2.234284439
65,hos,SAR,12,2,5.35,82,,,0.78,40.52468966,18.47557765,12.10130167,1.491418692,72.59298767,2.193419357
66,hos,SAR,12,3,5.35,83,,,0.88,40.69230345,18.00214098,12.13461662,1.480805162,72.30986621,2.260414664
69,con,NOR,24,1,6.11,110,0.04,11.08,9.16,55.85374246,21.10942735,10.12025003,3.020607572,90.10402741,2.645914621
70,con,NOR,24,2,6.17,102,0.03,9.92,9.97,54.64395176,20.98570085,10.03420187,3.004460582,88.66831506,2.603865943
71,con,NOR,24,3,6.11,111,0.03,11.67,9.2,57.56413622,22.06268376,10.0455422,2.97212744,92.64448962,2.609117587
72,met,NOR,24,1,6.17,85,0.07,8.95,10.15,56.8340901,21.64370085,10.4975995,3.027682686,92.00307315,2.625895196
73,met,NOR,24,2,6.16,106,0.06,11.25,9.97,55.20713019,21.49747863,10.43575523,2.993520623,90.13388467,2.568074663
74,met,NOR,24,3,6.15,109,0.08,11.5,10.31,55.24884711,21.50591453,10.13597371,2.997133708,89.88786905,2.5690071
75,hos,NOR,24,1,6.18,119,0.03,12.27,10.39,55.92153246,21.75055556,9.892507179,2.973827684,90.53842288,2.571039269
76,hos,NOR,24,2,6.17,127,0.04,13.25,10.14,56.52642781,21.76461538,9.925105192,3.225524002,91.44167239,2.597170996
77,hos,NOR,24,3,6.14,126,0.04,13.16,9.89,59.23802767,23.25776923,10.37963594,3.214695936,96.09012877,2.547021044
80,con,SAR,24,1,5.16,101,2.1,8.18,2.58,42.42610855,22.17516239,16.84198747,3.057107136,84.50036555,1.91322651
81,con,SAR,24,2,5.17,94,1.87,7.51,2.88,41.97765165,22.06268376,17.17493055,3.513048525,84.72831448,1.902653916
82,con,SAR,24,3,5.14,103,2.1,8.28,2.63,42.43653778,22.34106838,17.66395978,3.207939184,85.64950512,1.899485605
83,met,SAR,24,1,5.15,96,1.38,7.85,2.53,42.25924087,22.55477778,18.07427982,3.430355979,86.31865445,1.873627011
84,met,SAR,24,2,5.15,106,1.52,9.28,2.24,42.9267116,22.77692308,18.15127481,3.139637437,86.99454692,1.884658057
85,met,SAR,24,3,5.14,108,1.59,9.23,2.44,43.01536006,22.79098291,18.4281988,3.529385733,87.7639275,1.887385034
86,hos,SAR,24,1,5.13,100,1.54,8.5,2.95,43.12486697,22.98219658,18.39150393,3.157691673,87.65625916,1.876446702
87,hos,SAR,24,2,5.17,105,1.96,8.69,2.73,43.02057467,22.77129915,19.06348763,3.59928702,88.45464847,1.88924551
88,hos,SAR,24,3,5.15,101,1.75,8.43,3.22,43.58896772,22.85847009,18.78343115,3.366058943,88.5969279,1.906906611